auto/interpolated	2010-01-04	40	31	17	9
auto/interpolated	2010-01-05	40	31	17	9
YouGov/The_Sun	2010-01-06	40	31	17	9
YouGov/The_Sun	2010-01-07	42	30	16	12
auto/interpolated	2010-01-08	42	30	16	12
auto/interpolated	2010-01-09	42	30	17	12
auto/interpolated	2010-01-10	41	30	17	11
auto/interpolated	2010-01-11	41	31	17	10
auto/interpolated	2010-01-12	41	31	17	10
auto/interpolated	2010-01-13	41	31	18	10
auto/interpolated	2010-01-14	40	31	18	9
YouGov/Sunday_Times	2010-01-15	40	31	18	9
auto/interpolated	2010-01-16	40	31	18	9
auto/interpolated	2010-01-17	40	31	18	9
auto/interpolated	2010-01-18	40	31	18	9
auto/interpolated	2010-01-19	40	31	18	9
auto/interpolated	2010-01-20	40	31	18	9
auto/interpolated	2010-01-21	40	31	18	9
auto/interpolated	2010-01-22	40	31	18	9
auto/interpolated	2010-01-23	40	31	18	9
auto/interpolated	2010-01-24	40	31	18	9
auto/interpolated	2010-01-25	40	31	18	9
auto/interpolated	2010-01-26	40	31	18	9
auto/interpolated	2010-01-27	40	31	18	9
YouGov/People	2010-01-28	40	31	18	9
YouGov/Telegraph	2010-01-29	38	31	19	7
auto/interpolated	2010-01-30	38	31	19	7
auto/interpolated	2010-01-31	38	31	19	7
auto/interpolated	2010-02-01	38	31	19	7
auto/interpolated	2010-02-02	38	31	19	7
auto/interpolated	2010-02-03	38	31	19	7
auto/interpolated	2010-02-04	38	31	19	7
auto/interpolated	2010-02-05	38	31	19	7
auto/interpolated	2010-02-06	38	31	19	7
auto/interpolated	2010-02-07	38	31	19	7
auto/interpolated	2010-02-08	39	30	18	9
auto/interpolated	2010-02-09	39	30	18	9
auto/interpolated	2010-02-10	39	30	18	9
auto/interpolated	2010-02-11	39	30	18	9
auto/interpolated	2010-02-12	39	30	18	9
auto/interpolated	2010-02-13	39	30	18	9
auto/interpolated	2010-02-14	39	30	18	9
auto/interpolated	2010-02-15	39	30	18	9
auto/interpolated	2010-02-16	39	30	18	9
YouGov/Sun	2010-02-17	39	30	18	9
YouGov/Sun	2010-02-18	39	32	18	7
YouGov/Sunday_Times	2010-02-19	39	33	17	6
auto/interpolated	2010-02-20	39	33	17	6
auto/interpolated	2010-02-21	39	33	17	6
YouGov/Sun	2010-02-22	39	33	17	6
YouGov/Sun	2010-02-23	38	32	17	6
YouGov/Sun	2010-02-24	38	32	19	6
YouGov/Sun	2010-02-25	39	33	16	6
YouGov/Sunday_Times	2010-02-26	37	35	17	2
auto/interpolated	2010-02-27	38	34	17	4
auto/interpolated	2010-02-28	38	33	17	5
YouGov/Sun	2010-03-01	39	32	17	7
YouGov/Sun	2010-03-02	38	33	16	5
YouGov/Sun	2010-03-03	38	32	19	6
YouGov/Sun	2010-03-04	38	32	17	6
YouGov/Sunday_Times	2010-03-05	38	33	17	5
auto/interpolated	2010-03-06	38	33	17	5
auto/interpolated	2010-03-07	39	34	16	5
YouGov/Sun	2010-03-08	39	34	16	5
YouGov/Sun	2010-03-09	36	32	20	4
YouGov/Sun	2010-03-10	37	32	17	5
YouGov/Sun	2010-03-11	37	34	17	3
YouGov/Sunday_Times	2010-03-12	37	33	17	4
auto/interpolated	2010-03-13	37	33	18	4
auto/interpolated	2010-03-14	37	32	20	5
YouGov/Sun	2010-03-15	37	32	21	5
YouGov/Sun	2010-03-16	37	32	19	5
YouGov/Sun	2010-03-17	36	32	20	4
YouGov/Sun	2010-03-18	36	32	20	4
YouGov/Sunday_Times	2010-03-19	38	31	19	7
auto/interpolated	2010-03-20	37	31	19	6
auto/interpolated	2010-03-21	37	32	20	5
YouGov/Sun	2010-03-22	36	32	20	4
YouGov/Sun	2010-03-23	37	33	18	4
YouGov/Sun	2010-03-24	36	34	17	2
YouGov/Sun	2010-03-25	37	33	18	4
YouGov/Sunday_Times	2010-03-26	37	32	19	5
auto/interpolated	2010-03-27	38	32	19	6
auto/interpolated	2010-03-28	38	32	18	6
YouGov/Sun	2010-03-29	39	32	18	7
YouGov/Sun	2010-03-30	38	31	19	7
YouGov/Sun	2010-03-31	38	32	19	6
YouGov/Sun	2010-04-01	39	31	19	8
YouGov/Sunday_Times	2010-04-02	39	29	20	10
auto/interpolated	2010-04-03	40	30	19	10
auto/interpolated	2010-04-04	40	30	19	10
YouGov/Sun	2010-04-05	41	31	18	10
YouGov/Sun	2010-04-06	40	32	17	8
YouGov/Sun	2010-04-07	37	32	19	5
YouGov/Sun	2010-04-08	40	31	18	9
YouGov/Sun	2010-04-09	40	30	20	10
YouGov/Sunday_Times	2010-04-10	40	32	18	8
YouGov/Sun	2010-04-11	37	31	20	6
YouGov/Sun	2010-04-12	39	33	20	6
YouGov/Sun	2010-04-13	39	31	20	8
YouGov/Sun	2010-04-14	41	32	18	9
YouGov/Sun	2010-04-15	37	31	22	6
YouGov/Sun	2010-04-16	33	28	30	3
YouGov/Sunday_Times	2010-04-17	33	30	29	3
YouGov/Sun	2010-04-18	32	26	33	-1
YouGov/Sun	2010-04-19	33	27	31	2
YouGov/Sun	2010-04-20	31	26	34	-3
YouGov/Sun	2010-04-21	33	27	31	2
YouGov/Sun	2010-04-22	34	29	28	5
YouGov/Sun	2010-04-23	34	29	29	5
YouGov/Sunday_Times	2010-04-24	35	27	28	7
YouGov/Sun	2010-04-25	34	28	30	4
YouGov/Sun	2010-04-26	33	28	29	4
YouGov/Sun	2010-04-27	33	29	28	4
YouGov/Sun	2010-04-28	34	27	31	3
YouGov/Sun	2010-04-29	34	27	28	6
YouGov/Sun	2010-04-30	34	28	28	6
YouGov/Sunday_Times	2010-05-01	35	27	28	7
YouGov/Sun	2010-05-02	34	28	29	5
YouGov/Sun	2010-05-03	35	28	28	7
YouGov/Sun	2010-05-04	35	30	24	5
YouGov/Sun	2010-05-05	35	28	28	7
auto/interpolated	2010-05-06	35	29	27	6
